"concept_id","concept_code","concept_name","vocabulary_id"
42539065,"736375002","Hemodialysis care plan","SNOMED"
40625809,"75528009","Hemodialysis counseling","SNOMED"
4149813,"278904002","Hemodialysis diet","SNOMED"
4103072,"28812006","Hemodialysis education","SNOMED"
4245156,"59596005","Hemodialysis education at home","SNOMED"
45757693,"331000124109","Hemodialysis finding","SNOMED"
4329991,"224566003","Hemodialysis nurse","SNOMED"
608814,"27811000087103","Hemodialysis population","SNOMED"
4228125,"421503006","Hemodialysis route","SNOMED"
4300026,"385240000","Hemodialysis solution","SNOMED"
4300027,"385241001","Hemodialysis solution concentrate","SNOMED"
40487468,"446402005","Hemodialysis technique","SNOMED"
4195714,"67970008","Hemodialysis, maintenance at home","SNOMED"
4146649,"34897002","Hemodialysis, maintenance in hospital","SNOMED"
4286500,"68341005","Hemodialysis, supervision at home","SNOMED"
313232,"408667000","Hemodialysis-associated hypotension","SNOMED"
4050864,"233581009","Hemofiltration","SNOMED"
4303965,"419300007","Hemofiltration solution","SNOMED"
4099722,"292763000","Hemofiltration solution adverse reaction","SNOMED"
4167290,"294302005","Hemofiltration solution allergy","SNOMED"
42535587,"432621000124105","Hospital admission from dialysis facility","SNOMED"
763147,"436561000124101","Hospital-based dialysis facility","SNOMED"
3530452,"523491000000101","Inadequate dialysis blood flow","SNOMED"
40481167,"444887005","Inadequate flow to support prescribed dialysis blood flow","SNOMED"
45763579,"601000124107","Inadequate monitoring of dose delivery of peritoneal dialysis","SNOMED"
3564588,"371000124107","Increase blood flow for hemodialysis","SNOMED"
45769374,"708011004","Increase blood flow for hemodialysis","SNOMED"
46270524,"381000124105","Increase dialyzer size for hemodialysis","SNOMED"
45769371,"708008000","Increase exchange volume of peritoneal dialysis","SNOMED"
3521840,"531000124103","Increase exchange volume of peritoneal dialysis","SNOMED"
45757811,"451000124109","Increase in hemodialysis blood flow","SNOMED"
45757814,"461000124106","Increase in hemodialysis dialyzer size","SNOMED"
45763545,"471000124104","Increase in hemodialysis session time","SNOMED"
45769372,"708009008","Increase number of perfusion exchanges per 24 hours of peritoneal dialysis","SNOMED"
45769375,"708012006","Increase session time for hemodialysis","SNOMED"
3521837,"391000124108","Increase session time for hemodialysis","SNOMED"
3546071,"866961000000104","Infection of dialysis arteriovenous shunt","SNOMED"
3546042,"865791000000104","Infection of dialysis vascular access","SNOMED"
4238836,"57274006","Initial hemodialysis","SNOMED"
4051326,"233575001","Intermittent hemodialysis","SNOMED"
4050862,"233577009","Intermittent hemodialysis with continuous ultrafiltration","SNOMED"
4051327,"233576000","Intermittent hemodialysis with sequential ultrafiltration","SNOMED"
4050865,"233582002","Intermittent hemofiltration","SNOMED"
4080171,"238321006","Intermittent peritoneal dialysis","SNOMED"
4082257,"182753006","Intestinal dialysis","SNOMED"
40313137,"151056003","Intestinal dialysis","SNOMED"
45767079,"704376002","Knowledge level about peritoneal dialysis","SNOMED"
46273700,"708931003","Maintenance hemodialysis","SNOMED"
46270935,"708934006","Maintenance hemofiltration","SNOMED"
46271816,"710071003","Management of peritoneal dialysis","SNOMED"
40415172,"216978006","Mechanical failure of instrument &/or apparatus during kidney dialysis","SNOMED"
443273,"269698004","Mechanical failure of instrument or apparatus during kidney dialysis","SNOMED"
3567357,"699851000000107","Mechanical failure of instrument or apparatus during kidney dialysis and other perfusion","SNOMED"
4314662,"216977001","Mechanical failure of instrument or apparatus during kidney dialysis and other perfusion","SNOMED"
43021420,"473193004","Mode of dialysis access by patient choice","SNOMED"
762712,"430911000124107","Navy dialysis program","SNOMED"
4030834,"238323009","Night-time intermittent peritoneal dialysis","SNOMED"
37155982,"48781000175105","Nocturnal dialysis","SNOMED"
37157733,"1231768001","Nocturnal home hemodialysis","SNOMED"
4086740,"241951000","Non-allergic hypersensitivity reaction caused by dialysis membrane","SNOMED"
4030678,"236540009","Non-allergic hypersensitivity reaction during dialysis","SNOMED"
46270032,"125141000119102","Non-compliance with renal dialysis","SNOMED"
37016593,"641000124109","Non-compliant with peritoneal dialysis prescription","SNOMED"
3546052,"866091000000109","Occlusion of dialysis arteriovenous shunt","SNOMED"
3546041,"865771000000103","Occlusion of dialysis vascular access","SNOMED"
45769138,"707723000","One day after peritoneal dialysis","SNOMED"
37312110,"789741000","Outpatient dialysis treatment facility","SNOMED"
40490438,"448535008","Outpatient freestanding dialysis treatment facility","SNOMED"
762572,"429091000124105","Palliative dialysis","SNOMED"
3557225,"523461000000107","Patient choice of dialysis access","SNOMED"
4269439,"364668008","Perfusion / dialysis observable","SNOMED"
4147708,"310435001","Perfusion and dialysis finding","SNOMED"
40357901,"271362003","Perfusion and dialysis procedures","SNOMED"
40313125,"151045003","Perfusion and dialysis procedures","SNOMED"
4324124,"71192002","Peritoneal dialysis","SNOMED"
40313136,"151055004","Peritoneal dialysis","SNOMED"
3564238,"233181000000101","Peritoneal dialysis NEC","SNOMED"
3578645,"266931000000104","Peritoneal dialysis NEC","SNOMED"
4020891,"225229003","Peritoneal dialysis bag procedure","SNOMED"
37397621,"718308002","Peritoneal dialysis care","SNOMED"
37397337,"717738008","Peritoneal dialysis care assessment","SNOMED"
765566,"311000124103","Peritoneal dialysis care plan","SNOMED"
601174,"462441000124108","Peritoneal dialysis care plan","SNOMED"
40624574,"68648006","Peritoneal dialysis counseling","SNOMED"
